paper_id,model_id,doi,apa_citation,year,affective_model,is_classifier,class_model_output_number,class_model_output_categories,class_logistic_regression,class_support_vector_machine,class_k_nearest_neighbor,class_quadratic_discrimant_classifier,class_linear_discriminant_analysis,class_tree_based_models,class_naive_bayes,class_avg,class_lasso_t,class_ridge_t,class_lasso_var,class_ridge_var,class_tpa,class_hdc_mer,class_hmm,class_gradient_boostingclass,class_regre_fully_connected_neuronal_network_or_multi_layer_perceptron,class_convolutional_neuronal_network,class_recurrent_neuronal_network,class_gated_recurrent_units,class_lstm,class_cellular_neural_networks,class_adaboost_dt,class_quantum_neural_network,class_probabilistic_neural_network,class_backpropagation,class_extreme_learning_machine,class_ann,class_spiking_deep_belief_network,class_radial_basis_function,class_1r_rule,class_jrip,class_other,is_regressor,regre_model_output_number,regre_model_output_dimensions,regre_linear_regression,regre_support_vector_regression,regre_polynomial_regression,regre_ridge_regression,regre_logistic_regression,regre_knn,regre_decision_tree,regre_multilayer_regression,regre_boosted_regression_trees,regre_fully_connected_neuronal_network_or_multi_layer_perceptron,regre_convolutional_neuronal_network,regre_recurrent_neuronal_network,regre_lstm,regre_probabilistic_neural_network,regre_other,model_level_intersubject,model_level_intrasubject,n_model_input,is_physiologically_interpreted,model_interpretation,is_public_code,public_code_location,accuracy,precision,f_measure,recall_sensitivity_true_positive_rate,specificity_true_negative_rate,false_positive_rate,false_negative_rate,roc_auc,r2,r,mean_absolute_error,concordance_correlation_coefficient,spearmans_ranking_correlation,mean_square_error,root_mean_square_error,pearson_correlation_coefficient,unweighted_average_recall,matthews_correlation_coefficient,geometric_mean,metric_other,revisor,comentarios,Full_Judgement,Full_exclusion_category,Full_Evidence
7,1,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,54.36,-,45.48,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,2,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,56.67,-,45.74,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,3,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,x,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,59.85,-,49.06,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,4,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,x,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,62.32,-,42.72,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,5,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,54.98,-,45.2,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,6,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,48.49,-,43.88,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,7,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,45,-,42.4,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,8,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,x,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,54.06,-,48.33,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,9,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,-,-,x,-,-,,,,,,,,,,-,,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,67.07,-,46.83,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,10,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,40.03,-,37.26,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,11,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,76.21,-,70.95,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,12,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,76.29,-,70.88,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,13,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,x,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,79.71,-,75.34,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,14,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,x,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,78.08,-,69.86,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,15,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,,-,-,-,-,,-,-,-,-,-,-,-,73.13,-,68.3,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,16,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,73.55,-,69.88,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,17,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,-,x,-,,,,,,,,,,-,,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,77.51,-,73.63,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,18,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,x,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,75.5,-,71.97,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,19,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,-,-,x,-,-,,,,,,,,,,-,,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,81.7,-,74.51,-,-,-,,-,-,,-,,,,,,,,,,,,,,
7,20,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",2018.0,dimensional,x,2,"stress,  not stress",-,-,x,-,-,,-,,,,,,,,,,-,,-,,-,,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,69.73,-,66.64,-,-,-,,-,-,,-,,,,,,,,,,,,,,
8,1,,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",2018.0,dimensional,x,2,"relaxed, stress",-,-,-,-,x,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,-,54,-,65,-,55,35,-,-,,-,,,,,,,,,,,,,,
8,2,,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",2018.0,categorical,x,2,"relaxed, stress",-,-,-,x,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,-,52,-,80,-,73,20,-,-,,-,,,,,,,,,,,,,,
8,3,,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",2018.0,dimensional,x,2,"relaxed, stress",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,-,56,-,56,-,43,44,-,-,,-,,,,,,,,,,,,,,
9,1,,"Amalan, S., Shyam, A., Anusha, A. S., Preejith, S. P., Tony, A., Jayaraj, J., & Mohanasankar, S. (2018). Electrodermal Activity based Classification of Induced Stress in a Controlled Setting. MeMeA 2018 - 2018 IEEE International Symposium on Medical Measurements and Applications, Proceedings. Scopus. https://doi.org/10.1109/MeMeA.2018.8438703",2018.0,dimensional,x,2,"stress, not stress",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,,,,94,93,,,,,,,,,,,,,,,,,,,,
10,1,,"Machot, F. A., Ali, M., Ranasinghe, S., Mosa, A. H., & Kyandoghere, K. (2018). Improving subject-independent human emotion recognition using electrodermal activity sensors for active and assisted living. 222–228. Scopus. https://doi.org/10.1145/3197768.3201523",2018.0,dimensional,x,4,"HAHV, HALV, LAHV, LALV",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,-,-,-,68,75,-,-,-,-,-,-,,,,,,,,,,,,,,
11,1,,"Girardi, D., Lanubile, F., & Novielli, N. (2018). Emotion detection using noninvasive low cost sensors. 2018-January, 125–130. Scopus. https://doi.org/10.1109/ACII.2017.8273589",2018.0,dimensional,x,2,"LA, HA",-,-,-,-,-,x,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,,-,-,-,-,-,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,-,67,63,64,,,,,,,,,,,,,,,,,,,,,
